ROR		parent	child	short_name	canonical_name	Ringgold_id	long_name	URL	ISNI	Wikidata	Grid	?	City	State	Country
			A11118	Adler	Adler Planetarium, Illinois	A1118			0000000119393527				grid.299970.c	Adler Planetarium	Chicago
			A11135	ASTRA	Atmospheric & Space Technology Research Associates (ASTRA)	A1135									
			A11151	Palmer Div	Palmer Divide Observatory, Colorado	A1151									
			A11159	CBA	Center for Backyard Astronomy	A1159									
			A11200	Malin	Malin Space Science Systems, California	A1200			0000000460232081				grid.486979.d	Malin Space Science Systems (United States)	San Diego
			A11206	SRI Stanford	Stanford Research Institute, California	A1206									
			A11245	Belgium Ast Ass	Belgium Astronomical Association	A1245									
			A11247	Euro Ctr Geod Seis	European Center for Geodynamics and Seismology, Luxembourg	A1247			0000000121778426				grid.433006.2	European Center for Geodynamics and Seismology	Walferdange
			A11257	Ctr Faibles Radio	Centre des Faibles Radioactivites	A1257									
			A11262	Orsay	Centre National de la Recherche Scientifique, Orsay	A1262									
			A11268	St Maur des Fosses	Centre National de la Recherche Scientifique, Saint Maur des Fosses	A1268									
			A11269	Blauvac	Observatoire de Blauvac, France	A1269									
			A11271	VdS	Vereinigung der Sternfreunde, Germany	A1271									
			A11280	EDIMAR	La Salle Foundation for Natural Sciences, Marine Research, Venezuela	A1280									
			A11285	SPACE X	SPACE X Exploration Institute, Switzerland	A1285									
			A11290	ISSI	International Space Science Institute, Switzerland	A1290			0000000110892856				grid.450946.a	International Space Science Institute	Bern
			A11297	Swiss Fed Obs	Swiss Federal Observatory, Zurich, Switzerland	A1297									
			A11302	Norweg Geo Soc	Norwegian Geological Society	A1302			0000000110340453				grid.438521.9	Norwegian Geological Survey	Trondheim
			A11304	EISCAT	European Incoherent Scatter Scientific Association, Norway	A1304									
			A11306	Atalaia Crow	Atalaia Group Crow Observatory, Portugal	A1306									
			A11307	NUCLIO	Interactive Nucleus of Astronomy, Portugal	A1307									
			A11312	ASTER	Amateur Astronomers Association of Barcelona, Spain	A1312									
			A11313	Fabra Barc	Fabra Observatory, Barcelona, Spain	A1313									
			A11314	Duran Barc	Esteve Duran Observatory, Barcelona, Spain	A1314									
			A11315	Gualba Barc	Gualba Observatory, Barcelona, Spain	A1315									
			A11327	Ryl Span Nav Obs	Royal Spanish Naval Observatory	A1327									
			A11330	Catalan Phy Soc	Catalan Physics Society, Spain	A1330									
			A11335	FRACTAL SNLE	FRACTAL, SNLE	A1335									
			A11338	Ast Soc Croatia	Astronomical Society of Croatia	A1338									
			A11341	Ast Soc Slovenia	Astronomical Society of Slovenia	A1341									
			A11350	Hung Ast Ass	Hungarian Astronomical Association	A1350									
			A11351	Bolyai Mil U	Bolyai Military University, Hungary	A1351									
			A11357	Bucharest Astroclub	Bucharest Astroclub, Romania	A1357									
			A11363	Stefaniks Obs	Stefaniks Observatory, Prague, Czech Republic	A1363									
			A11365	Copernicus Obs	Copernicus Observatory, Brno, Czech Republic	A1365									
			A11367	Upice Obs	Upice Observatory, Czech Republic	A1367									
			A11371	Polish Soc Am Ast	Polish Society of Amateur Astronomers	A1371									
			A11372	Olsztyn Ast Obs	Olsztyn Astronomical Observatory, Poland	A1372									
			A11374	Chorzow Ast Obs	Chorzow Astronomical Observatory, Poland	A1374									
			A11381	Obs Cantonal	Observatoire Cantonal de Neuchatel, France	A1381			0000000115080726				grid.426048.c	Observatoire Cantonal de Neuchâtel	Neuchâtel
			A11390	EGO	European Gravitational Observatory, Pisa, Italy	A1390			0000000406185878	6762296		Q5412642	grid.434637.1	European Gravitational Observatory	Cascina
			A11412	Ast Obs Aosta	Astronomical Observatory of Aosta, Italy	A1412									
			A11413	Talmassons Obs	Talmassons Observatory, Italy	A1413									
			A11414	Geo Obs Coldigioco	Geological Observatory of Coldigioco, Italy	A1414									
			A11415	Campo Catino Ast Obs	Campo Catino Astronomical Observatory, Italy	A1415									
			A11419	ISI Turin	Institute for Scientific Interchange, Italy	A1419			0000000417593658	33689352	144088473	Q1650851	grid.418750.f	Institute for Scientific Interchange	Turin
			A11420	Bellatrix Ast Obs	Bellatrix Astronomical Observatory, Italy	A1420									
			A11430	Hellenic Mil Ac	Hellenic Military Academy, Greece	A1430			0000000406229041	9855862		Q3564659	grid.465918.7	Hellenic Military Academy	Voula
			A11433	Cyprus Coll	Cyprus College, Nicosia	A1433			0000000406091185				grid.462073.4	Cyprus College	Nicosia
			A11441	Odessa Natl Mar U	Odessa National Maritime University, Ukraine	A1441			0000000094525027				grid.49528.32	Odessa National Maritime University	Odesa
			A11451	Belarus St U	Belarus State University, Minsk	A1451			000000011092255X	482911	305139140	Q2418908	grid.17678.3f	Belarusian State University	Minsk
			A11453	Ast Geod Soc Minsk	Astronomical Geodesical Society of Minsk, Belurus	A1453									
			A11458	Samarkand St U	Samarkand State University, Uzbekistan	A1458			0000000109425708	43596295		Q4406337	grid.77443.33	Samarkand State University	Samarkand
			A11466	EAAS	Eurasian Astronomical Society, Moscow, Russia	A1466									
			A11468	Khrunichev Sp Ctr	Khrunichev State Research and Production Space Center, Moscow, Russia	A1468									
			A11469	Korolev Energia	Korolev Energia Space Rocket Corporation, Moscow, Russia	A1469			0000000460878165				grid.473476.5	S. P. Korolev Rocket and Space Corporation Energia (Russia)	Korolev
			A11470	SCSE Moscow	State Committee of Standards, Moscow, Russia	A1470									
			A11471	CAO Dolgoprudnyi	Central Aerological Observatory, Dolgoprudnyi, Russia	A1471									
			A11472	Rostov St Ped U	Rostov State Pedagogical University, Russia	A1472									
			A11484	AdW Potsdam	German Academy of Sciences, Potsdam	A1484									
			A11487	IMO	International Meteor Organization	A1487									
			A11489	Archenhold Obs	Archenhold Observatory, Berlin, Germany	A1489									
			A11490	BAV	West German Variable Star Observers	A1490									
			A11491	Max Born Inst	Max Born Institute for Nonlinear Optics, Berlin, Germany	A1491			0000000085103594	47000261	122843787		grid.419569.6	Max-Born-Institute for Nonlinear Optics and Short Pulse Spectroscopy	Berlin
			A11508	M Adrian Obs	Michael Adrian Observatory, Germany	A1508									
			A11517	Geo Surv Iran	Geological Survey of Iran	A1517			000000012243211X				grid.484159.5	Geological Survey of Iran	Tehran
			A11518	ISRC Baghdad	Iranian Space Research Center, Baghdad, Iran	A1518									
			A11519	Nepal Ast Soc	Nepal Astronomical Society	A1519									
			A11521	PAGASA	Philippine Atmospheric Geophysical and Astronomical Services Administration	A1521									
			A11524	CVGHM	Center for Volcanology and Geohazards, Indonesia	A1524									
			A11525	BAKOSURTANAL	BAKOSURTANAL, Indonesia	A1525									
			A11534	ThEP	Thailand Center of Excellence in Physics	A1534									
			A11535	INST	VATLY Institute for Nuclear Science and Technology, Vietnam	A1535									
			A11543	Nikola Tesla U	Nikola Tesla University, Serbia	A1543									
			A11546	Assam Sci Soc	Assam Science Society, India	A1546									
			A11548	Gov New Sci Coll	Government New Science College, India	A1548									
			A11550	IUAC New Delhi	Inter Accelerator Science Center, New Delhi, India	A1550									
			A11559	Rad Res Lab Korea	Radio Research Laboratory, Korea	A1559									
			A11561	Korea Ast Obs	Korea Astronomy Observatory	A1561									
			A11573	Beijing Plan	Beijing Planetarium, China	A1573									
			A11577	Var Star Obs League	Variable Star Observers League of Japan	A1577									
			A11598	Kobe Sci Mus	Kobe Science Museum, Japan	A1598									
			A11615	Japan SpGuard Ass	Japan Spaceguard Association	A1615									
			A11630	JSUP	Japan Space Utilization Promotion Center	A1630									
			A11640	Gunma Ast Obs	Gunma Astronomical Observatory, Japan	A1640			0000000404786303				grid.440577.5	Gunma Astronomical Observatory	Takayama
			A11643	Toyoma Sci Mus	Toyoma Science Museum, Japan	A1643									
			A11644	GRI Osaka	Geo Research Institute, Osaka, Japan	A1644									
			A11645	Osaka Sci Mus	Osaka Science Museum, Osaka, Japan	A1645									
			A11646	ALPO	Association for Lunar and Planetary Observers, Japan	A1646									
			A11647	Misato Ast Obs	Misato Astronomical Observatory, Japan	A1647									
			A11648	Hamanowa Ast Obs	Hamanowa Astronomical Observatory, Japan	A1648									
			A11649	Itagaki Ast Obs	Itagaki Astronomical Observatory, Japan	A1649									
			A11654	Ryl Ast Soc NZ	Royal Astronomical Society of New Zealand	A1654									
			A11655	DSIR NZ	Department of Scientific and Industrial Research, New Zealand	A1655									
			A11656	Carter Obs	Carter Observatory, New Zealand	A1656									
			A11657	Auckland Obs	Auckland Observatory, New Zealand	A1657									
			A11664	Austr At Ener Comm	Australian Atomic Energy Commission	A1664									
			A11678	Perth Obs	Perth Observatory, Australia	A1678									
			A11680	Sydney Obs Mus	Sydney Observatory Museum, Australia	A1680									
			A11681	Hunters Hill Obs	Hunters Hill Observatory, Australia	A1681									
			A11682	AGSO	Australian Geological Survey Organization	A1682									
			A11683	Mars Soc	Mars Society, Australia	A1683									
			A11684	Austr Bur Min Res	Australian Bureau of Mineral Resources	A1684									
			A11685	Austr Mus Sydney	Australian Museum Sydney	A1685			0000000404708815	840646		Q769416	grid.438303.f	Australian Museum	Sydney
			A11690	SKA	Square Kilometre Array, South Africa	A1690			0000000405699009				grid.452213.3	Square Kilometre Array	Johannesburg
			A11696	IRGM Cameroon	Center for Hydrologic Research, Cameroon	A1696									
			A11697	MVO BWI	Montserrat Volcano Observatory, BWI	A1697									
			A11699	INETER	National Institute for Territorial Studies, Nicaragua	A1699									
			A11700	Supernova	Supernova Ltd, British Virgin Islands	A1700									
			A11709	Rosario Plan Ast Obs	Rosario Planetarium and Astronomical Observatory, Argentina	A1709									
			A11716	SPACE San Pedro	San Pedro de Atacama Celestial Explorations, Chile	A1716									
			A11739	Armagh Obs	Armagh Observatory, Ireland	A1739			0000000107243660	1280789		Q676709	grid.422885.1	Armagh Observatory	Armagh
			A11750	Can Ctr Rem Sen	Canadian Center for Remote Sensing	A1750									
			A11751	CERCA	Canadian Emergency Response Contractors Alliance	A1751									
			A11752	SNOLAB	Sudbury Neutrino Laboratory, Canada	A1752									
			A11756	Scot U Res React Ctr	Scottish Universities Research and Reactor Center	A1756									
			A11786	NIT Nagano	National Institute of Technology, Nagano College, Japan	A1786			0000000091751600				grid.450292.8	Nagano National College of Technology	Nagano
			A11800	ERIM	Environmental Research Institute of Michigan	A1800									
			A11804	AS&E	American Science and Engineering, Cambridge, Massachusetts	A1804									
			A11810	Interferometrics	Interferometrics, Inc., Herndon, Virginia	A1810									
			A11811	Comp Phy Inc	Computational Physics, Inc., Springfield, Virginia	A1811									
			A11812	Eureka Sci	Eureka Scientific, Oakland, California	A1812									
			A13003	FINCA	Finnish Center for Astronomy	A3003									
